company_id,type,rule_id,text,confidence_pct
DLF,con,C4,Low revenue growth may indicate a lack of business momentum.,85.1
DLF,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,84.1
DLF,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",85.4
DLF,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,73.3
DLF,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,77.3
DMART,con,C3,Weak operating margins suggest limited pricing power and lower cash generation.,74.4
DMART,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",76.9
DMART,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,61.2
DMART,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,86.1
DMART,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,89.0
DMART,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
DRREDDY,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
DRREDDY,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",74.3
DRREDDY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,66.3
DRREDDY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,76.9
DRREDDY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
EICHERMOT,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
EICHERMOT,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,81.1
EICHERMOT,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",81.2
EICHERMOT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,63.8
EICHERMOT,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,76.4
EICHERMOT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
GAIL,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
GAIL,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,85.3
GAIL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,93.7
GODREJCP,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
GODREJCP,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
GODREJCP,pro,P_FALLBACK,The company continues to operate with stable financial performance and remains suitable for ongoing monitoring.,65.0
GRASIM,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
GRASIM,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
GRASIM,con,C9,"Earnings per share have declined for three consecutive years, indicating weakening profitability.",88.0
GRASIM,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,60.2
HAL,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
HAL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
HAL,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,100.0
HAL,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",71.8
HAL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,83.3
HAL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
HAVELLS,con,C3,Weak operating margins suggest limited pricing power and lower cash generation.,70.6
HAVELLS,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
HAVELLS,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,78.6
HAVELLS,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
HCLTECH,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
HCLTECH,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,69.3
HCLTECH,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,79.2
HCLTECH,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
HCLTECH,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
HDFCBANK,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
HDFCBANK,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,76.9
HDFCBANK,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,75.9
HDFCBANK,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",72.0
HDFCBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,71.4
HDFCBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HDFCBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,81.6
HDFCLIFE,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
HDFCLIFE,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,76.3
HDFCLIFE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,69.4
HDFCLIFE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HDFCLIFE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
HEROMOTOCO,con,C4,Low revenue growth may indicate a lack of business momentum.,67.7
HEROMOTOCO,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,84.9
HEROMOTOCO,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",71.8
HEROMOTOCO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,78.9
HEROMOTOCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HEROMOTOCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
HINDALCO,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
HINDALCO,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",72.3
HINDALCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HINDALCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
HINDUNILVR,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
HINDUNILVR,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,61.3
HINDUNILVR,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",71.5
HINDUNILVR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
HINDUNILVR,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HINDUNILVR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
ICICIBANK,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
ICICIBANK,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,73.6
ICICIBANK,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,77.7
ICICIBANK,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,82.9
ICICIBANK,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",72.5
ICICIBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
ICICIGI,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
ICICIGI,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",70.7
ICICIGI,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,64.0
ICICIGI,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
ICICIGI,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,62.0
ICICIGI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
ICICIGI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,95.0
ICICIPRULI,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
ICICIPRULI,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
ICICIPRULI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
ICICIPRULI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
INDIGO,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
INDIGO,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",73.6
INDIGO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
INDIGO,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,70.2
INDIGO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
INDIGO,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,82.2
INDIGO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,79.9
INDUSINDBK,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
INDUSINDBK,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,83.8
INDUSINDBK,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
INDUSINDBK,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",72.8
INDUSINDBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,67.3
INDUSINDBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,94.2
INDUSINDBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80.8
INFY,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
INFY,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,88.8
INFY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
INFY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
IOC,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,61.8
IOC,con,C3,Weak operating margins suggest limited pricing power and lower cash generation.,81.4
IOC,con,C4,Low revenue growth may indicate a lack of business momentum.,65.5
IOC,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",90.4
IOC,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
IOC,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,83.2
IRCTC,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
IRCTC,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
IRCTC,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",80.0
IRCTC,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,63.5
IRCTC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85.5
IRCTC,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,84.1
IRCTC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
IRFC,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
IRFC,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,76.5
IRFC,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,76.8
IRFC,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",80.3
IRFC,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,60.7
IRFC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
IRFC,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,83.4
ITC,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
ITC,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,81.1
ITC,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",71.8
ITC,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
ITC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,87.5
ITC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
JINDALSTEL,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
JINDALSTEL,pro,P_FALLBACK,The company continues to operate with stable financial performance and remains suitable for ongoing monitoring.,65.0
JIOFIN,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,95.5
JIOFIN,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,77.3
JIOFIN,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",100.0
JIOFIN,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
JIOFIN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,100.0
JIOFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
JIOFIN,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,100.0
JIOFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,95.0
JSWENERGY,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,63.4
JSWENERGY,con,C4,Low revenue growth may indicate a lack of business momentum.,72.9
JSWENERGY,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
JSWENERGY,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",73.7
JSWENERGY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
JSWSTEEL,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
JSWSTEEL,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",78.1
JSWSTEEL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,81.7
KOTAKBANK,con,C1,High leverage relative to equity can restrict future capital flexibility.,90.0
KOTAKBANK,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,68.7
KOTAKBANK,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,78.3
KOTAKBANK,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,83.0
